trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'a': 0.01, 'e': 0.27253179303401259}",30,0,20.46970540381194,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.26982005638468681}",20,0,-23.190179862511375,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",25,9,21.511882386162682,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,9,-14.503985670642482,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.26184566858032599}",25,0,5.606641836977847,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.25924026064589151}",35,0,2.6656918978757522,"{0: 30, 1: 3, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.25666077695355588}",20,16,7.29118331558456,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,4,-14.500686799617652,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,10,-4.417518537288517,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,0,27.093289379216923,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,6,-49.208200325637904,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
141,False,"{'a': 0.01, 'e': 0.24414328315343711}",25,0,-19.826145321954943,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,1,-31.95053258358773,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,6,-25.545470810599692,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,0,-4.374902008768772,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",30,10,29.133125436067075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,0,-22.100626851681717,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,10,11.400925764477147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",35,20,1.6335441524768715,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,5,9.771578036470585,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,7,-43.55309254152389,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",25,0,22.810835312667688,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,8,5.7873791751121475,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",25,4,-92.77346470633765,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 3}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,0,-57.178607829977096,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",25,7,-38.29600934893376,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",30,6,18.547543038569145,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
